order_id,timestamp_start,timestamp_end,station_id,shift,process_time_mins,rework_time_mins,total_time_mins,labor_cost_per_hour,defect_flag,status,rework_cost,delay_cost,hour
ORD-1073,2026-04-01 08:26:00,2026-04-01 08:34:57.792596,Station_C,Day,8.96,0.0,8.96,43.58,0,Success,0.0,0.0,8
ORD-1074,2026-04-01 08:28:00,2026-04-01 09:02:02.036280,Station_C,Day,24.31,9.72,34.03,35.12,1,Failed,5.69,0.0,8
ORD-1075,2026-04-01 08:30:00,2026-04-01 08:49:14.769954,Station_A,Day,19.25,0.0,19.25,36.35,0,Delayed,0.0,2.57,8
ORD-1076,2026-04-01 08:32:00,2026-04-01 08:44:35.706562,Station_B,Day,12.6,0.0,12.6,30.68,0,Success,0.0,0.0,8
ORD-1077,2026-04-01 08:34:00,2026-04-01 08:47:29.381131,Station_A,Day,13.49,0.0,13.49,38.04,0,Success,0.0,0.0,8
ORD-1078,2026-04-01 08:36:00,2026-04-01 08:46:15.491947,Station_B,Day,10.26,0.0,10.26,31.93,0,Success,0.0,0.0,8
ORD-1079,2026-04-01 08:38:00,2026-04-01 09:02:38.098059,Station_D,Day,17.6,7.04,24.63,38.15,1,Failed,4.48,0.0,8
ORD-1080,2026-04-01 08:40:00,2026-04-01 08:50:50.248743,Station_B,Day,10.84,0.0,10.84,26.97,0,Success,0.0,0.0,8
ORD-1081,2026-04-01 08:42:00,2026-04-01 08:54:40.585147,Station_A,Day,12.68,0.0,12.68,48.99,0,Success,0.0,0.0,8
ORD-1082,2026-04-01 08:44:00,2026-04-01 08:58:37.555816,Station_C,Day,14.63,0.0,14.63,36.32,0,Success,0.0,0.0,8
ORD-1083,2026-04-01 08:46:00,2026-04-01 09:03:47.714901,Station_C,Day,17.8,0.0,17.8,46.46,0,Delayed,0.0,2.16,8
ORD-1084,2026-04-01 08:48:00,2026-04-01 09:01:00.086585,Station_C,Day,13.0,0.0,13.0,37.32,0,Success,0.0,0.0,8
ORD-1085,2026-04-01 08:50:00,2026-04-01 09:02:22.352069,Station_A,Day,12.37,0.0,12.37,46.38,0,Success,0.0,0.0,8
ORD-1086,2026-04-01 08:52:00,2026-04-01 09:01:44.015488,Station_D,Day,9.73,0.0,9.73,42.63,0,Success,0.0,0.0,8
ORD-1087,2026-04-01 08:54:00,2026-04-01 09:02:31.510074,Station_B,Day,8.53,0.0,8.53,44.68,0,Success,0.0,0.0,8
ORD-1088,2026-04-01 08:56:00,2026-04-01 09:14:38.703329,Station_D,Day,18.65,0.0,18.65,42.66,0,Delayed,0.0,2.59,8
ORD-1089,2026-04-01 08:58:00,2026-04-01 09:10:26.390473,Station_B,Day,12.44,0.0,12.44,37.5,0,Success,0.0,0.0,8
ORD-1090,2026-04-01 09:00:00,2026-04-01 09:15:31.439258,Station_B,Day,11.09,4.44,15.52,32.49,1,Failed,2.4,0.0,9
ORD-1091,2026-04-01 09:02:00,2026-04-01 09:14:53.913660,Station_B,Day,12.9,0.0,12.9,42.06,0,Success,0.0,0.0,9
ORD-1092,2026-04-01 09:04:00,2026-04-01 09:17:55.050328,Station_D,Day,13.92,0.0,13.92,40.11,0,Success,0.0,0.0,9
ORD-1093,2026-04-01 09:06:00,2026-04-01 09:22:20.553267,Station_C,Day,16.34,0.0,16.34,44.46,0,Delayed,0.0,0.99,9
ORD-1094,2026-04-01 09:08:00,2026-04-01 09:21:10.204207,Station_C,Day,13.17,0.0,13.17,38.01,0,Success,0.0,0.0,9
ORD-1095,2026-04-01 09:10:00,2026-04-01 09:36:46.126946,Station_C,Day,26.77,0.0,26.77,33.88,0,Delayed,0.0,6.65,9
ORD-1096,2026-04-01 09:12:00,2026-04-01 09:21:32.539609,Station_A,Day,9.54,0.0,9.54,41.71,0,Success,0.0,0.0,9
ORD-1097,2026-04-01 09:14:00,2026-04-01 09:29:10.467978,Station_D,Day,15.17,0.0,15.17,39.74,0,Delayed,0.0,0.12,9
ORD-1098,2026-04-01 09:16:00,2026-04-01 09:22:09.260327,Station_D,Day,6.15,0.0,6.15,45.16,0,Success,0.0,0.0,9
ORD-1099,2026-04-01 09:18:00,2026-04-01 09:28:16.844961,Station_B,Day,10.28,0.0,10.28,27.15,0,Success,0.0,0.0,9
ORD-1100,2026-04-01 09:20:00,2026-04-01 09:36:16.297760,Station_C,Day,16.27,0.0,16.27,32.82,0,Delayed,0.0,0.7,9
ORD-1101,2026-04-01 09:22:00,2026-04-01 09:46:14.296681,Station_C,Day,24.24,0.0,24.24,38.28,0,Delayed,0.0,5.89,9
ORD-1102,2026-04-01 09:24:00,2026-04-01 09:37:05.452135,Station_B,Day,13.09,0.0,13.09,47.33,0,Success,0.0,0.0,9
ORD-1103,2026-04-01 09:26:00,2026-04-01 09:34:45.365403,Station_A,Day,8.76,0.0,8.76,42.45,0,Success,0.0,0.0,9
ORD-1104,2026-04-01 09:28:00,2026-04-01 09:48:35.404705,Station_D,Day,20.59,0.0,20.59,30.5,0,Delayed,0.0,2.84,9
ORD-1105,2026-04-01 09:30:00,2026-04-01 10:02:33.872199,Station_C,Day,23.26,9.3,32.56,25.96,1,Failed,4.03,0.0,9
ORD-1106,2026-04-01 09:32:00,2026-04-01 09:43:40.218805,Station_B,Day,11.67,0.0,11.67,48.63,0,Success,0.0,0.0,9
ORD-1107,2026-04-01 09:34:00,2026-04-01 09:42:19.299622,Station_D,Day,8.32,0.0,8.32,47.7,0,Success,0.0,0.0,9
ORD-1108,2026-04-01 09:36:00,2026-04-01 09:47:47.509457,Station_A,Day,11.79,0.0,11.79,30.66,0,Success,0.0,0.0,9
ORD-1109,2026-04-01 09:38:00,2026-04-01 09:53:17.463001,Station_D,Day,15.29,0.0,15.29,26.66,0,Delayed,0.0,0.13,9
ORD-1110,2026-04-01 09:40:00,2026-04-01 09:58:49.076757,Station_D,Day,18.82,0.0,18.82,40.72,0,Delayed,0.0,2.59,9
ORD-1111,2026-04-01 09:42:00,2026-04-01 10:00:38.029760,Station_A,Day,18.63,0.0,18.63,38.85,0,Delayed,0.0,2.35,9
ORD-1112,2026-04-01 09:44:00,2026-04-01 09:56:18.309731,Station_B,Day,12.31,0.0,12.31,35.4,0,Success,0.0,0.0,9
ORD-1113,2026-04-01 09:46:00,2026-04-01 09:59:47.927729,Station_C,Day,13.8,0.0,13.8,25.37,0,Success,0.0,0.0,9
ORD-1114,2026-04-01 09:48:00,2026-04-01 10:03:22.071235,Station_B,Day,10.98,4.39,15.37,35.65,1,Failed,2.61,0.0,9
ORD-1115,2026-04-01 09:50:00,2026-04-01 10:07:19.042025,Station_A,Day,17.32,0.0,17.32,26.27,0,Delayed,0.0,1.01,9
ORD-1116,2026-04-01 09:52:00,2026-04-01 10:05:11.545389,Station_C,Day,13.19,0.0,13.19,31.9,0,Success,0.0,0.0,9
ORD-1117,2026-04-01 09:54:00,2026-04-01 10:08:23.801030,Station_D,Day,14.4,0.0,14.4,43.5,0,Success,0.0,0.0,9
ORD-1118,2026-04-01 09:56:00,2026-04-01 10:15:36.186364,Station_C,Day,19.6,0.0,19.6,43.2,0,Delayed,0.0,3.31,9
ORD-1119,2026-04-01 09:58:00,2026-04-01 10:24:06.338142,Station_D,Day,18.65,7.46,26.11,37.52,1,Failed,4.66,0.0,9
ORD-1120,2026-04-01 10:00:00,2026-04-01 10:16:12.660645,Station_B,Day,16.21,0.0,16.21,26.15,0,Delayed,0.0,0.53,10
ORD-1121,2026-04-01 10:02:00,2026-04-01 10:17:11.312002,Station_A,Day,15.19,0.0,15.19,31.77,0,Delayed,0.0,0.1,10
ORD-1122,2026-04-01 10:04:00,2026-04-01 10:30:27.068123,Station_A,Day,18.89,7.56,26.45,37.13,1,Failed,4.68,0.0,10
ORD-1123,2026-04-01 10:06:00,2026-04-01 10:21:26.789233,Station_A,Day,15.45,0.0,15.45,43.02,0,Delayed,0.0,0.32,10
ORD-1124,2026-04-01 10:08:00,2026-04-01 10:19:50.605682,Station_B,Day,11.84,0.0,11.84,25.12,0,Success,0.0,0.0,10
ORD-1125,2026-04-01 10:10:00,2026-04-01 10:22:31.180750,Station_A,Day,12.52,0.0,12.52,27.75,0,Success,0.0,0.0,10
ORD-1126,2026-04-01 10:12:00,2026-04-01 10:30:48.581078,Station_C,Day,18.81,0.0,18.81,38.24,0,Delayed,0.0,2.43,10
ORD-1127,2026-04-01 10:14:00,2026-04-01 10:25:59.597449,Station_B,Day,11.99,0.0,11.99,25.67,0,Success,0.0,0.0,10
ORD-1128,2026-04-01 10:16:00,2026-04-01 10:31:22.383480,Station_A,Day,10.98,4.39,15.37,26.54,1,Failed,1.94,0.0,10
ORD-1129,2026-04-01 10:18:00,2026-04-01 10:31:23.821433,Station_D,Day,13.4,0.0,13.4,26.39,0,Success,0.0,0.0,10
ORD-1130,2026-04-01 10:20:00,2026-04-01 10:28:32.917182,Station_B,Day,8.55,0.0,8.55,37.28,0,Success,0.0,0.0,10
ORD-1131,2026-04-01 10:22:00,2026-04-01 10:32:42.809307,Station_B,Day,10.71,0.0,10.71,40.47,0,Success,0.0,0.0,10
ORD-1132,2026-04-01 10:24:00,2026-04-01 10:39:54.865748,Station_C,Day,15.91,0.0,15.91,32.23,0,Delayed,0.0,0.49,10
ORD-1133,2026-04-01 10:26:00,2026-04-01 10:39:12.771379,Station_D,Day,13.21,0.0,13.21,40.1,0,Success,0.0,0.0,10
ORD-1134,2026-04-01 10:28:00,2026-04-01 10:52:04.011999,Station_D,Day,24.07,0.0,24.07,25.51,0,Delayed,0.0,3.85,10
ORD-1135,2026-04-01 10:30:00,2026-04-01 10:50:05.613039,Station_C,Day,20.09,0.0,20.09,30.39,0,Delayed,0.0,2.58,10
ORD-1136,2026-04-01 10:32:00,2026-04-01 10:47:05.953738,Station_C,Day,15.1,0.0,15.1,30.41,0,Delayed,0.0,0.05,10
ORD-1137,2026-04-01 10:34:00,2026-04-01 10:45:03.465659,Station_B,Day,11.06,0.0,11.06,25.13,0,Success,0.0,0.0,10
ORD-1138,2026-04-01 10:36:00,2026-04-01 10:48:41.572313,Station_B,Day,12.69,0.0,12.69,42.64,0,Success,0.0,0.0,10
ORD-1139,2026-04-01 10:38:00,2026-04-01 10:49:20.139708,Station_D,Day,11.34,0.0,11.34,36.62,0,Success,0.0,0.0,10
ORD-1140,2026-04-01 10:40:00,2026-04-01 11:01:44.331117,Station_D,Day,21.74,0.0,21.74,28.87,0,Delayed,0.0,3.24,10
ORD-1141,2026-04-01 10:42:00,2026-04-01 10:54:51.715128,Station_B,Day,12.86,0.0,12.86,43.08,0,Success,0.0,0.0,10
ORD-1142,2026-04-01 10:44:00,2026-04-01 11:13:37.724573,Station_C,Day,21.16,8.47,29.63,43.73,1,Failed,6.17,0.0,10
ORD-1143,2026-04-01 10:46:00,2026-04-01 11:01:21.838932,Station_C,Day,15.36,0.0,15.36,30.39,0,Delayed,0.0,0.18,10
ORD-1144,2026-04-01 10:48:00,2026-04-01 11:02:43.233869,Station_C,Day,14.72,0.0,14.72,46.75,0,Success,0.0,0.0,10
ORD-1145,2026-04-01 10:50:00,2026-04-01 11:12:31.601995,Station_A,Day,16.09,6.44,22.53,39.49,1,Failed,4.24,0.0,10
ORD-1146,2026-04-01 10:52:00,2026-04-01 11:16:13.563681,Station_C,Day,17.3,6.92,24.23,42.79,1,Failed,4.94,0.0,10
ORD-1147,2026-04-01 10:54:00,2026-04-01 11:04:31.479960,Station_A,Day,10.52,0.0,10.52,35.72,0,Success,0.0,0.0,10
ORD-1148,2026-04-01 10:56:00,2026-04-01 11:05:50.676048,Station_B,Day,9.84,0.0,9.84,45.22,0,Success,0.0,0.0,10
ORD-1149,2026-04-01 10:58:00,2026-04-01 11:10:49.505578,Station_B,Day,12.83,0.0,12.83,33.73,0,Success,0.0,0.0,10
ORD-1150,2026-04-01 11:00:00,2026-04-01 11:23:44.163708,Station_C,Day,23.74,0.0,23.74,26.84,0,Delayed,0.0,3.91,11
ORD-1151,2026-04-01 11:02:00,2026-04-01 11:12:22.307150,Station_A,Day,10.37,0.0,10.37,43.85,0,Success,0.0,0.0,11
ORD-1152,2026-04-01 11:04:00,2026-04-01 11:17:52.233324,Station_D,Day,13.87,0.0,13.87,38.5,0,Success,0.0,0.0,11
ORD-1153,2026-04-01 11:06:00,2026-04-01 11:22:38.827381,Station_C,Day,16.65,0.0,16.65,40.85,0,Delayed,0.0,1.12,11
ORD-1154,2026-04-01 11:08:00,2026-04-01 11:29:29.090016,Station_B,Day,15.35,6.14,21.48,41.96,1,Failed,4.29,0.0,11
ORD-1155,2026-04-01 11:10:00,2026-04-01 11:22:27.614977,Station_B,Day,12.46,0.0,12.46,49.34,0,Success,0.0,0.0,11
ORD-1156,2026-04-01 11:12:00,2026-04-01 11:29:11.765323,Station_D,Day,17.2,0.0,17.2,44.81,0,Delayed,0.0,1.64,11
ORD-1157,2026-04-01 11:14:00,2026-04-01 11:34:41.946794,Station_D,Day,14.79,5.91,20.7,46.82,1,Failed,4.61,0.0,11
ORD-1158,2026-04-01 11:16:00,2026-04-01 11:29:11.488200,Station_C,Day,13.19,0.0,13.19,36.22,0,Success,0.0,0.0,11
ORD-1159,2026-04-01 11:18:00,2026-04-01 11:36:44.026022,Station_D,Day,18.73,0.0,18.73,40.58,0,Delayed,0.0,2.53,11
ORD-1160,2026-04-01 11:20:00,2026-04-01 11:29:50.986951,Station_B,Day,9.85,0.0,9.85,43.42,0,Success,0.0,0.0,11
ORD-1161,2026-04-01 11:22:00,2026-04-01 11:34:10.287661,Station_B,Day,12.17,0.0,12.17,32.24,0,Success,0.0,0.0,11
ORD-1162,2026-04-01 11:24:00,2026-04-01 11:35:48.990962,Station_B,Day,11.82,0.0,11.82,39.03,0,Success,0.0,0.0,11
ORD-1163,2026-04-01 11:26:00,2026-04-01 11:38:47.974458,Station_D,Day,12.8,0.0,12.8,44.32,0,Success,0.0,0.0,11
ORD-1164,2026-04-01 11:28:00,2026-04-01 11:36:59.637378,Station_B,Day,8.99,0.0,8.99,46.92,0,Success,0.0,0.0,11
ORD-1165,2026-04-01 11:30:00,2026-04-01 11:45:22.483231,Station_A,Day,15.37,0.0,15.37,44.36,0,Delayed,0.0,0.28,11
ORD-1166,2026-04-01 11:32:00,2026-04-01 11:52:46.289889,Station_D,Day,14.84,5.93,20.77,31.6,1,Failed,3.13,0.0,11
ORD-1167,2026-04-01 11:34:00,2026-04-01 11:44:03.207630,Station_B,Day,10.05,0.0,10.05,40.91,0,Success,0.0,0.0,11
ORD-1168,2026-04-01 11:36:00,2026-04-01 11:48:00.408075,Station_D,Day,12.01,0.0,12.01,27.94,0,Success,0.0,0.0,11
ORD-1169,2026-04-01 11:38:00,2026-04-01 11:46:58.105535,Station_B,Day,8.97,0.0,8.97,34.24,0,Success,0.0,0.0,11
ORD-1170,2026-04-01 11:40:00,2026-04-01 11:52:55.810348,Station_C,Day,12.93,0.0,12.93,48.36,0,Success,0.0,0.0,11
ORD-1171,2026-04-01 11:42:00,2026-04-01 11:53:57.930896,Station_D,Day,8.55,3.42,11.97,36.54,1,Failed,2.08,0.0,11
ORD-1172,2026-04-01 11:44:00,2026-04-01 11:54:46.394584,Station_D,Day,10.77,0.0,10.77,49.96,0,Success,0.0,0.0,11
ORD-1173,2026-04-01 11:46:00,2026-04-01 12:04:52.335108,Station_C,Day,18.87,0.0,18.87,35.84,0,Delayed,0.0,2.31,11
ORD-1174,2026-04-01 11:48:00,2026-04-01 12:01:38.585436,Station_A,Day,13.64,0.0,13.64,25.48,0,Success,0.0,0.0,11
ORD-1175,2026-04-01 11:50:00,2026-04-01 12:01:45.230316,Station_B,Day,11.75,0.0,11.75,39.42,0,Success,0.0,0.0,11
ORD-1176,2026-04-01 11:52:00,2026-04-01 12:04:20.117383,Station_A,Day,12.34,0.0,12.34,34.29,0,Success,0.0,0.0,11
ORD-1177,2026-04-01 11:54:00,2026-04-01 12:12:36.141139,Station_C,Day,18.6,0.0,18.6,42.05,0,Delayed,0.0,2.52,11
ORD-1178,2026-04-01 11:56:00,2026-04-01 12:17:52.292518,Station_C,Day,21.87,0.0,21.87,48.28,0,Delayed,0.0,5.53,11
ORD-1179,2026-04-01 11:58:00,2026-04-01 12:12:25.785682,Station_A,Day,14.43,0.0,14.43,36.7,0,Success,0.0,0.0,11
ORD-1180,2026-04-01 12:00:00,2026-04-01 12:17:10.173089,Station_D,Day,17.17,0.0,17.17,45.11,0,Delayed,0.0,1.63,12
ORD-1181,2026-04-01 12:02:00,2026-04-01 12:44:04.010562,Station_C,Day,30.05,12.02,42.07,34.03,1,Failed,6.82,0.0,12
